"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"386540";"164299";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Jardim Itália- Jardim Carvalho";"Rua Abran Golstem";"nº. 250/";"Apto 203/ bloco 02";"APARTAMENTO COM 02 DORMITÓRIOS, SALA, COZINHA COM MOVEIS SOB MEDIDA, BANHEIRO, ÁREA DE SERVIÇO, SALÃO DE FESTAS COM CHURRASQUEIRA, PLAYGROUND,  MURADO E GRADEADO.";"2";"0";"1";NULL;"0";"0";NULL;"260000";"0";"0";"2016-12-15 00:00:00"
"417286";"164511";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Moinhos de Vento";"Rua Marquês do Pombal";"";"";"APARTAMENTO COM 03 DORMITÓRIOS SENDO 01 SUÍTE, SALA AMPLA, DEPENDÊNCIA DE EMPREGADA, COZINHA, BANHEIRO SOCIAL, GARAGEM, ÁREA DE SERVIÇO.";"2";"1";"1";NULL;"0";"0";NULL;"730000";"0";"530";"2017-05-30 00:00:00"
"555644";"1645630";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Parque Santa Fé";"Professor Álvaro Barcelos Ferreira";"745";"402";"APARTAMENTO COM 02 DORMITÓRIOS, SALA, BANHEIRO E COZINHA.";"2";"0";"1";NULL;"0";"0";NULL;"145000";"0";"0";"2018-11-07 11:40:48"
"369221";"163886";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Cristal";"Avenida Capivari";"413";"Apt.302";"Apartamento com 03 dormitórios e demais dependências. Box rotativo. Bem localizado próximo ao Barra Shopinng. Documentação Ok, desocupado. Aceita financiamento e fGTS na entrada! Confira!";"3";"0";"1";NULL;"0";"65";NULL;"199000";"0";"0";"2016-10-18 00:00:00"
"31139";"31139";"Casa";"RIO GRANDE DO SUL";"Porto Alegre";"Tristeza";"Rua Professor Xavier Simões";"";"";"ALTO PADRÃO. Ampla casa finamente construída e decorada em terreno com 40m de frente, com sala, três cozinhas, 3 suítes master, sendo uma com 72 m², sala de estar, dois salões de festa, sala de jogos, piscina e spa, biblioteca com lavabo, churrasqueira, sala de jantar (2) entre outros itens. Rua de fácil acesso a 20 minutos do centro de Porto Alegre em região com toda a infraestrutura e segurança.";"4";"3";"7";NULL;"970";"800";NULL;"1850000";"0";"0";"2011-08-10 00:00:00"
"47717";"FX11111";"Casa - Sobrado";"RIO GRANDE DO SUL";"PORTO ALEGRE";"SARANDI";"AV. ECOVILE";"790";"CASA 301";"ÓTIMO SOBRADO EM CONDOMINIO FECHADO, 3 DORMITÓRIOS, SENDO UMA SUITE, SALA 2 AMBIENTES, COZINHA, ÁREA DE SERVIÇO COM CHURRASQUEIRA, LAVANDERIA, LAVABO, BANHEIRO SOCIAL, GARAGEM PARA DOIS CARROS LADO A LADO, PÁTIO NO FUNDO.  CONDOMINIO COM EXCELENTE INFREESTRUTURA, SEGURANÇA 24 HORAS, PORTARIA, VIGILANCIA, QUADRAS DE ESPORTES, ESCRITÓRIO, FITNESS, SALÃO DE FESTAS DUPLO, PISCINA ADULTO E INFANTIL, ÁREA DE PASSEIO, AMBIENTE LINDO E AGRADÁVEL, IDEAL PARA A FAMILIA. REGIÃO TIPICAMENTE RESIDENCIAL, TRADICIONALMENTE PARA CONDOMINIOS, COM ACESSO FACILITADO À ASSIS BRASIL.";"3";"1";"2";NULL;"170";"170";NULL;"690000";"0";"260";"2012-03-21 00:00:00"
"103952";"1425";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Sarandi";"Rua Zeferido Dias";"131";"Bloco 4 Apto 414";"APARTAMENTO COM 02 DORMITÓRIOS, SALA, COZINHA, BANHEIRO, ÁREA DE SERVIÇO, ÁREA DE LAZER, PLAY-GROUND, SALÃO DE FESTAS, VAGA ROTATIVA PARA 1 VEÍCULO E PORTÃO ELETRÔNICO.";"2";"0";"1";NULL;"0";"0";NULL;"143000";"0";"0";"2013-05-10 00:00:00"
"37816";"A2912";"Apartamento";"RIO GRANDE DO SUL";"PORTO ALEGRE";"NONOAI";"Av. Cavalhada";"2356";"104";"APARTAMENTO TÉRREO EM CONDOMÍNIO COM PORTARIA 24HS. SENDO 2 DORMITÓRIOS,BANHEIRO,LÍVING 2 AMBIENTES, COZINHA COM ÁREA DE SERVIÇO E UM BOX ESCRITURADO. SALÃO DE FESTAS,PLAY GROUND COM PISCINA, QUADRA DE JOGOS E CHURRASQUEIRAS. UM BOX ESCRITURADO. CONFIRA!";"2";"0";"1";NULL;"0";"84";NULL;"140000";"0";"300";"2010-03-02 00:00:00"
"71050";"3271";"Apartamento";"RIO GRANDE DO SUL";"PORTO ALEGRE";"RIO BRANCO";"Paulino Teixeira";"423";"601";"ACERTE SEU IMÓVEL FÁCIL: APARTAMENTO TODO NOVO, REFORMADO COM MATERIAIS DE QUALIDADE, ACERTE FONE 3026 5688.  IMÓVEL DESOCUPADO, PRONTO PARA MORAR.";"2";"1";"3";NULL;"0";"0";NULL;"359000";"0";"0";"2012-11-07 00:00:00"
"81427";"374533";"Apartamento";"RIO GRANDE DO SUL";"PORTO ALEGRE";"BELA VISTA";"BAGE";"1178";"1001";"NOVO E PRONTO, AMPLO DE 03 DORMITÓRIOS/3 VAGAS/FINO ACABENTO.  TODO O REQUINTE NOS DETALHES! CONDILÇOES DE PAGAMENTO A COMBINAR, COM AMPLO FINANCIAMENTO PELO SISTEMA.

  
 
  

";"3";"3";"3";NULL;"0";"186";NULL;"1720000";"0";"0";"2013-01-25 00:00:00"
"38572";"G1109";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Cristo Redentor";"Rua Comendador Albino Cunha";"218";"apt.506";"COBERTURA COM TRÊS DORM., SENDO UMA SUÍTE NO ANDAR SUPERIOR, SALA, COZINHA, ÁREA DE SERVIÇO, DOIS BANHEIROS SENDO UM COM HIDRO, SALÃO DE FESTAS, SALÃO DE JOGOS, GÁS CENTRAL, ELEVADOR, CERCA ELÉTRICA, DEPÓSITO.ÁREA PRIVATIVA 150M².";"3";"1";"2";NULL;"0";"150";NULL;"398000";"0";"0";"2011-11-07 00:00:00"
"40906";"G1134";"Terreno";"RIO GRANDE DO SUL";"Porto Alegre";"Passo das Pedras";"Hugo Mardini";"1780";"";"TERRENO PLANO EM CONDOMÍNIO FECHADO, ÓTIMA LOCALIZAÇÃO, PORTARIA 24HS.
ACEITA FINANCIAMENTO HABITACIONAL";"0";"0";"0";NULL;"134";"133";NULL;"85000";"0";"0";"2011-12-05 00:00:00"
"171806";"G1708";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"São João";"Rua Coronel Feijó";"387";"Apto 203";"LOCALIZAÇÃO: DESCIDA ATRÁS DO ZAFARI HIGIENÓPOLIS EM DIREÇÃO ASSIS BRASIL - MEIO DA QUADRA
PARTICULARIDADES: SOMENTE UM LANCE DE ESCADA ATE O APTO 203, COZINHA MONTADA, BANHEIRO COMPLETO COM BOX, AQUECEDOR A GÁS, AR CONDICIONADO (DE JANELA) NO QUARTO, LAMINADO SALA E QUARTO.";"1";"0";"1";NULL;"0";"0";NULL;"245000";"0";"0";"2014-10-15 00:00:00"
"172124";"G1717";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Vila Nova";"Av. Cristiano Kramer";"1863";"Apto 114 J";"APARTAMENTO 2 DORMITÓRIOS , BAIRRO VILA NOVA, ZONA SUL DE PORTO ALEGRE, EM CONDOMÍNIO FECHADO COM TODA A INFRA ESTRUTURA, APARTAMENTO VAZIO , PISO LAMINADO NOS QUARTOS E PORCELANATO NA SALA E COZINHA, COM LAVANDERIA E 1 VAGA NA GARAGEM. APARTAMENTO NO TÉRREO.";"2";"0";"1";NULL;"0";"0";NULL;"130000";"0";"0";"2014-10-16 00:00:00"
"197295";"G1881";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Menino Deus";"Nunes Machado";"226";"305";"ÓTIMO APARTAMENTO 01 DORMITÓRIO 46,50M² ÁREA PRIVATIVA, LIVING DOIS AMBIENTES, BANHO SOCIAL, COZINHA, ÁREA SERVIÇO. EXCELENTE LOCALIZAÇÃO, RUA TRANQUILA E ARBORIZADA. PRÉDIO REFORMADO, PRÓXIMO A TODOS OS RECURSOS. VENHA CONFERIR! AGENDE SUA VISITA COM UM DE NOSSOS CORRETORES!";"1";"0";"1";NULL;"0";"0";NULL;"195000";"0";"0";"2015-01-16 00:00:00"
"203632";"G1924";"Prédio";"RIO GRANDE DO SUL";"Porto Alegre";"Navegantes";"Av. Polonia";"395";"loja 7";"Excelente loja comercial em ótima localização. Agende uma visita com um de nossos corretores.";"0";"0";"0";NULL;"0";"0";NULL;"240597,59";"0";"0";"2015-03-06 00:00:00"
"265174";"G2070";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"São Geraldo";"Av. Benjamin Constant";"1885";"AP 202";"Apartamento com 1 dormitório, 1 banheiro, 2° andar, lateral, posição solar norte, sol da manhã do dormitório e da tarde na cozinha, piso em parquet.";"1";"0";"1";NULL;"0";"0";NULL;"157215";"0";"200";"2015-06-23 00:00:00"
"265176";"G2071";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Santana";"Rua Ignacio Montanha";"130";"AP 04 - 3° andar";"Excelente apartamento próximo da João Pessoa, com 3 dormitórios, sala ampla com lareira, sacadas, copa e cozinha, área de serviço, dependência de empregada com banheiro, aquecedor de passagem, estacionamento ao lado do edifício. Apartamento semi mobiliado.";"3";"0";"2";NULL;"155";"0";NULL;"400000";"0";"54";"2015-06-23 00:00:00"
"265181";"G2072";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Santana";"Rua Vicente da Fontoura";"704";"AP 04";"OPORTUNIDADE ÚNICA - Apartamento térreo, todo reformado, esquadrias novas, bem iluminado, orientação solar: cozinha e área de serviço pela manhã e quartos a tarde, 3 dormitórios, banheiro social e auxiliar. Próximo ao Supermercado Nacional Santana.";"3";"0";"2";NULL;"0";"0";NULL;"303400";"0";"250";"2015-06-23 00:00:00"
"271541";"G2129";"Sala Comercial";"RIO GRANDE DO SUL";"Porto Alegre";"Auxiliadora";"Rua Felipe Neri";"287";"201,203,303,306,307,403,407,501,507,602,607";"Salas comerciais localizadas em excelente ponto do bairro Auxiliadora, entre as ruas Mariland e Silva Jardim. Uma ou mais vagas de garagem, estacionamento rotativo para visitantes, hall de entrada totalmente decorado, sala de convenções, opções de salas com terraço. Agende visita conosco.";"0";"0";"1";NULL;"0";"0";NULL;"339939,35";"0";"0";"2015-07-31 00:00:00"
"271554";"G2131";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Higienópolis";"Rua Portugal";"1253";"ap. 209";"Excelente localização - apartamento reformado, desocupado, com amplas esquadrias, área de serviço e água quente. Preço especial para Agosto R$189.500,00";"1";"0";"0";NULL;"0";"0";NULL;"199473";"0";"0";"2015-07-31 00:00:00"
"273521";"G2137";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Bom Jesus";"Av. Prof. Cristiano Fischer";"346, Torre 1";"Ap.201,203,204,301,704,804,905,906,908";"Ótimos apartamentos com bela vista da cidade, lugar alto. Com 3 e 2 dormitórios, sala, cozinha, lavanderia, gabinete, 2 banheiros e gabinete opcional. Final 203 e 204 unidades com terraço. Visite apartamento decorado (201 será entregue completo). Opção de living estendido. Box simples Ap.201 e duplo (203, 204, 704, 804, 905, 906 e 908), preço altera conforme a unidade.  -  Escolha sua planta : LOFT, 1D, 2D e 3D e personalize o tamanho dos ambientes.";"3";"1";"2";NULL;"0";"0";NULL;"597643,04";"0";"0";"2015-08-07 00:00:00"
"274316";"G2143";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Petrópolis";"Rua Mario Antunes da Cunha";"185";"";"Conceito moderno de moradia com ótima vista da cidade. Apartamento com 2 dormitórios, 3 dormitórios e 1 dormitório com 66 a 90m² e coberturas com 165m². Infraestrutura completa com salão de festas, lounge, pub, fitness, SPA, laundry, piscinas, playground, brinquedoteca, 1 ou 2 vagas. Preços variam conforme andar e posição do apartamento.";"3";"1";"2";NULL;"0";"66";NULL;"516216,04";"0";"0";"2015-08-13 00:00:00"
"308119";"G2372";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Vivendas de Nova Ipanema (Aberta dos Morros)";"Tome de Souza";"241";"407";"Imobiliária Gestão Vende no Codomínio Residencial Monte Verde em Ipanema excelente apartamento de 2 dormitórios,banheiro social, cozinha, sala de estar e Jantar,com espera para split, portaria 24 horas, sistema de câmeras em todo o condomínio, interfone,churrasqueira, playground, área verde e vaga de garagem rotativa.";"2";"0";"1";NULL;"0";"48";NULL;"122000";"0";"0";"2016-02-24 00:00:00"
"311651";"G2424";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Humaitá";"Rua 2122";"280";"1305, Torre 05";"Apartamento de 03 dormitórios, sendo 1 suíte, sacada, churrasqueira, área de serviço, cozinha, 1 box na garagem, condomínio com infraestrutura completa de clube: piscina adulta e infantil, churrasqueira, playground, salão de festas, fitness, quadra de esporte e área de lazer, gás central, sala de jogos, monitoramento e portaria 24hrs.
Valor de aquisição da Cessão para o proprietário R$70.000,00 mais taxa de cessão da OAS, cessão de direitos: R$7.000,00, assume o restante.  Entrega em 12/2016.
Saldo devedor a ser negociado  no Contrato R$ 284.500,00 em  até 12/2016 (quitar ou financiar).";"3";"1";"2";NULL;"0";"0";NULL;"354500";"0";"0";"2016-03-29 00:00:00"
"311655";"G2425";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Humaitá";"Rua 2122";"280";"1506, Torre 05";"Apartamento de 03 dormitórios, sendo 1 suíte, sacada, churrasqueira, área de serviço, cozinha, 1 box na garagem, condomínio com infraestrutura completa de clube: piscina adulta e infantil, churrasqueira, playground, salão de festas, fitness, quadra de esporte e área de lazer, gás central, sala de jogos, monitoramento e portaria 24hrs.
Valor de aquisição R$230.000,00, mais taxa de cessão da OAS, cessão de direitos: R$7.000,00, assume o restante das parcelas. Entrega em 12/2016.
Saldo devedor a ser negociado em 12/2016 (quitar ou financiar).";"3";"1";"2";NULL;"0";"66";NULL;"439000";"0";"0";"2016-03-29 00:00:00"
"369210";"G2657";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Centro";"Rua Demétrio Ribeiro";"961";"10";"Apartamento no Bairro Centro em Porto Alegre de  2 (dois )dormitórios, sala, cozinha, banheiro, com terraço, portaria 24hrs, 2 elevadores, piso frio. Agende sua  visita com um de nossos Corretores.";"2";"0";"0";NULL;"0";"56";NULL;"370000";"0";"0";"2016-10-18 00:00:00"
"386556";"G2707";"Loja";"RIO GRANDE DO SUL";"Porto Alegre";"Centro";"Avenida Alberto Bins";"658";"";"Loja Comercial em Porto Alegre no Bairro Centro com 444m² com divisórias de 12 salas  com ar condicionado central com projeto para 41 salas de 2,40 x 3,00m ou loja inteira de 8,80 x 51,00 inclusive com autorização para construção em horário comercial. Nos fundos é possível fazer prédio de 2 ( dois ) pisos desta forma tornando um loja com 604,00m². Agende sua visita com um de nossos Corretores inclusive sábados, domingos e feriados.";"0";"0";"1";NULL;"444";"0";NULL;"1400000";"0";"0";"2016-12-15 00:00:00"
"390520";"G2722";"Casa - Sobrado";"RIO GRANDE DO SUL";"Porto Alegre";"Belém Novo ";"Avenida Juca Batista";"9000";"1078/ Casa";"Casa em Porto Alegre de 4 ( quatro) dormitórios sendo 1 (um) suíte master com hidro e 2 ( duas) suítes no condomínio Terra Ville Com 180 Hectares de área verde  com uma área de 1.200m²  sendo 375m de área construída voltada para o lago e campo de golfe. Belíssima arquitetura toscana  com  amplo living com lareira  varanda com churrasqueira externa junto com grande e exuberante pátio  dependência de empregada  adega  escritório e atelier  lindo paisagismo e 4 ( quatro) vagas de garagem cobertas. Condomínio com maravilhosa infraestrutura entre elas campo de golfe  restaurante  cafeteria  estética e escola de línguas  e diferenciado sistema de segurança.";"4";"3";"4";NULL;"0";"375";NULL;"2490000";"0";"0";"2017-01-18 00:00:00"
"421698";"G2815";"Apartamento Mobiliado";"RIO GRANDE DO SUL";"Porto Alegre";"Azenha";"Avenida Ipiranga";"2626";"303";"Apartamento mobiliado em Porto Alegre no Bairro Azenha de 1 (um) dormitório com móveis planejados ,banheiro, cozinha americana, sala mobiliada, área de serviço mobiliada com duas vagas de garagem.
Localizado próximo ao Zaffari Ipiranga.
Agende sua visita com um de nossos corretores.
";"1";"0";"1";NULL;"0";"44";NULL;"260000";"0";"0";"2017-06-20 00:00:00"
"449104";"G2907";"Casa - Sobrado";"RIO GRANDE DO SUL";"Porto Alegre";"Santa Tereza";"Rua José Otávio Manica";"000";"";"Casa de 4 ( quatro ) dormitórios sendo 1 (  ( um) suíte em Porto Alegre no Bairro Santa Tereza  com  sala de jantar e sala de estar em nível rebaixado, 04 banheiros, 01 lavabo, cozinha, área de serviço, lavanderia, salão para estar e festas, dependência de empregada completa, depósito, todas as torneiras  com água quente, garagem coberta para 04 carros, piscina com aquecimento solar, alarme, cerca elétrica, monitoramento por câmeras de vídeo e pantográficas e grades em todas as janelas e pátio todo calçado. 
Agende sua visita com um de nossos corretores.
";"4";"1";"4";NULL;"580";"0";NULL;"795000";"0";"0";"2017-10-10 00:00:00"
"455771";"G2920";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Centro";"Rua Duque de Caxias";"837";"403";"Apartamento Mobiliado em Porto Alegre no  Centro Histórico de 1(um) dormitório, sala, banheiro, cozinha, área de serviço e vaga de garagem coberta  e escriturada, portaria 24 horas, porteiro eletrônico, hall de entrada, elevador e gás Central.
Fica toda a mobília e eletrodomésticos.
Localizado no Centro histórico de Porto Alegre próximo das principais conveniências.
Agende sua visita com um de nossos corretores.
";"1";"0";"1";NULL;"53";"38";NULL;"285000";"0";"370";"2017-11-05 00:00:00"
"457932";"G2936";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Jardim Carvalho";"Abram Goldsztein";"446";"Torre B, Apto 203";"Apartamento semi mobiliado com 56m2, 2 dormitórios, gás central, sacada, 1 vaga de garagem, excelente estado de conservação, elevador, condomínio com infraestrutura completíssima, piscina, academia, 2 salões de festas, espaço kids, quadra poliesportiva, portaria 24h, e excepcional localização, apenas 5km do shopping Iguatemi e na porta do condomínio está o final da linha da lotação Ipiranga PUC. Melhor preço do mercado!!";"2";"0";"1";NULL;"56";"56";NULL;"215000";"0";"380";"2017-11-28 00:00:00"
"473667";"G3013";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Camaquã";"Avenida Otto Niemeyer";"1702";"306 Torre E - Ipanema";"Apartamento em Porto Alegre no Bairro Tristeza  Residencial Viver Zona Sul de 3 ( três ) dormitórios, sendo 1 ( um) suíte, banheiro social, cozinha americana, sala de estar / jantar, área de serviço e lavanderia e duas vagas de garagem coberta.
Condomínio com salão de festas, sala de ginástica, quadra poliesportiva e piscina.
Agende sua vista com um de nossos Corretores. 

";"3";"1";"2";NULL;"109";"67";NULL;"299000";"0";"0";"2018-03-06 00:00:00"
"505511";"G3118";"Apartamento";"RIO GRANDE DO SUL";"Porto Alegre";"Menino Deus";"Praça Menino Deus";"94";"Quase esquina Com Barão de Guaíba";"Apartamento de 01 (Um) dormitório em Porto Alegre, todo reformado, 4º andar, com elevador, muito bem localizado em um dos melhores bairros de Porto Alegre. Fácil acesso à farmácias, supermercados, restaurantes, escolas, hospitais,  e pontos de ônibus. Apartamento com ótima posição solar, peças amplas, sala, cozinha e área de serviço, banheiro e dormitório de casal. Não possui garagem mas há muitas opções de boxes para alugar nas imediações. Agende sua  visita com um de nossos corretores.";"1";"0";"1";NULL;"37";"37";NULL;"190000";"0";"0";"2018-07-27 00:00:00"
"634216";"G3269";"Apartamento Mobiliado";"RIO GRANDE DO SUL";"Porto Alegre";"Jardim Europa";"Rua Tulio de Rose";"330";"apto 401";"Apartamento do Edifício Cipriani Nuova Architettura, com 3 suítes, sala em 3 ambientes, lavabo, espaço gourmet com churrasqueira, cozinha, área de serviço, 4 vagas de garagem.
Apto finamente mobiliado, pronto para morar. Tem ar condicionado na sala e em todos os dormitórios.
Fica tudo no imóvel, móveis, lustres, eletrodomésticos e ar condicionados.
Condomínio com infra completa, portaria 24hs, 2 piscinas uma aberta e outra coberta e aquecida, sauna, espaço massagem,  3 salões de festas, cancha esportiva, pracinha infantil, pista de skate. ";"3";"3";"4";NULL;NULL;"163";NULL;"1699000";"0";"1200";"2019-06-19 10:52:38"
"688298";"594";"Apartamento";"RIO GRANDE DO SUL";"PORTO ALEGRE";"NAVEGANTES";"Avenida Cairu";"1230";"APARTAMENTO 05, ED FLOR";"Lindo Apartamento térreo,com dois  dormitórios,sala ,cozinha,banheiro,área de serviço,apartamento com 57MTS.
Ótima localização bairro Navegantes Porto Alegre-RS";"2";"0";"1";NULL;"57";NULL;NULL;"125000";"0";"0";"2020-03-18 10:26:32"
