"id";"referencia";"Tipo";"Estado";"Cidade";"Bairro";"endereco";"numero";"complemento";"descricao";"QtdDormitorio";"QtdSuite";"QtdBanheiro";"QtdBoxes";"AreaTotal";"AreaPrivativa";"areaUtil";"preco";"preco_loca";"precoCondominio";"DataCadastro"
"782878";"AP202276";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Vila Verde";"Rua Gustavo Dultra Almeida";"156";"Apto 401";"Ótimo apartamento com 02 suítes e 01 lavabo, com cerca elétrica, churrasqueira na sacada, sala de estar e jantar integrados. 
Acabamento em massa corrida, piso laminado e porcelanato e teto rebaixado de gesso. 
Condomínio com cerca elétrica, gás central, portão eletrônico e salão de festas.";"2";"2";"3";NULL;"0";"82";"82";"395000";"0";"0";NULL
"783057";"TER01122";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Lourdes";"Rua Tronca,s/n";"s/n";"";"Terrenos planos, orientação solar Norte, ótima localização comercial, 02 terrenos lado a lado com 396,00m² cada.";NULL;"0";"0";NULL;"792";"0";NULL;"1400000";"0";"0";NULL
"783060";"TER01105";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"Colina Sorriso";"Rua Gilberto Candeia";"741";"De Esquina ";"Excelente terreno no bairro Colina Sorriso com ótima localização e lugar alto.

Dois lotes: Um com 497,03m² e lote ao lado com 486,18m², totalizando 983,21m².

OFERTA DE R$750.000,00 POR R$590.000,00.";NULL;"0";"0";NULL;"0";"0";NULL;"590000";"0";"0";NULL
"783074";"TER02242";"Terreno";"RIO GRANDE DO SUL";"Caxias do Sul";"São Luiz";"Rua Claudino Massochini";"s/n";"Tabela";"Terreno em bairro com infraestrutura pronta para construir, em rua com pouco tráfego, toda pavimentada e próximo de área verde.
Última oportunidade de 02 lotes de terreno à venda.


";NULL;"0";"0";NULL;"720";"0";NULL;"410000";"0";"0";NULL
"783184";"AP300901";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Fátima";"Rua Luiz Carlos Prestes";"43";"";"Excelentes apartamentos em construção com 03 dormitórios, sala de estar e jantar, cozinha, área de serviço, piso cerâmico, sacada com churrasqueira e 01 box de garagem. Prédio com gás central, elevador, espera para medidores individuais, salão de festas e ótima localização.    Opção para 02 vagas de garagem! 
Investimento: A partir de R$ 185.500,00. Entrega: 2017";"3";"0";"1";NULL;"0";"66";"66";"185500";"0";"0";NULL
"784695";"AP302286";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Madureira";"Luis Faccioli ";"92";" Apto 21";"Apartamento Semi- mobiliado com 03 dormitórios sendo 01 suíte, salão de festas equipado e elevador; 
Acabamento em massa corrida, piso laminado e porcelanato;
Excelente localização e ótima posição solar.
";"3";"1";"2";NULL;NULL;"72";NULL;"300000";"0";"140";"2021-02-02 18:08:59"
"785294";"AP301824";"Apartamento 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Exposição";"Rua Almirante Tamandaré";"127";"601";"Sofisticado, mobiliado, decorado, nobre localização, acabamentos de alto padrão, excelente orientação solar. Esses adjetivos descrevem este lindo apartamento de 03 dormitórios com 04 vagas de garagem, possui gabinete, banheiro social, amplo living, cozinha com churrasqueira, aquecedor. Prédio com infraestrutura completa, 02 salões de festas, academia, brinquedoteca, mini quadra esportiva, jardim e playground.";"3";"1";"2";"39";"0";"163";"163";"1050000";"0";"0";"2021-02-04 08:51:13"
"785894";"SB202287";"Sobrado 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Salgado Filho";"Rua Fredolino Valentin Zardin";"34";"tabela";"Ótimo sobrado TRIPLEX com 02 dormitórios sendo o quarto principal com sacada fechada, baixo custo de condomínio, semi-mobiliado, piso cerâmico, esquadrias de alumínio e ferro; 
Ótima infraestrutura.";"2";"0";"1";NULL;"77";"73";NULL;"202000";"0";"0";"2021-02-07 18:13:51"
"786720";"AP202312";"Apartamento 02 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Sanvitto";"Rua Leon Cia";"130";"404";"Ótimo apartamento 02 dormitórios, semi-Mobiliado, sala de estar, sala de jantar, lavanderia, churrasqueira na cozinha, banheiro social, água quente, espera para água quente e gás encanado central;
Acabamento com decoração em gesso, piso laminado e porcelanato e massa corrida;
Com excelente localização.";"2";"1";"2";"12";NULL;"82";NULL;"375000";"0";"0";"2021-02-11 08:51:35"
"787705";"CAC302304";"Casa em Condomínio 03 dormitórios";"RIO GRANDE DO SUL";"Caxias do Sul";"Pedancino";"Estrada Bento Osvaldo Trisch";"281";NULL;"Excelente residência com 03 dormitórios, sendo 01 suíte, ampla área living e piscina construída no condomínio Vicino no bairro Pedancino;
Acabamento em esquadrias de PVC, decoração em gesso, piso laminado e porcelanato, massa corrida e teto rebaixado em gesso;
Condomínio com brinquedoteca, cabo lógico, espera para calefação elétrica, sala de cinema, parede dupla com EPS, academia, espaço fogo de chão, quadra de futebol, quadra de padel, pet place, playground, quadra poliesportiva, sala de jogos, salão de festas, salão gourmet, segurança 24 horas, espaço skate park, spa, espera para split, quadra de tênis e trilhas para caminhada.";"3";"3";"4";NULL;NULL;"218";"218";"1749575,52";"0";"0";"2021-02-16 18:07:11"
